Categoria,Série,Data de Início,Hora de Início,Data Final,Hora de Término,Valor,Unidade de Medida
Temperatura Máxima do Óleo Hidráulico,Temperatura,3 jan 2024,00:00,3 jan 2024,23:59,57.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,4 jan 2024,00:00,4 jan 2024,23:59,57.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,5 jan 2024,00:00,5 jan 2024,23:59,55.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,6 jan 2024,00:00,6 jan 2024,23:59,54.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,8 jan 2024,00:00,8 jan 2024,23:59,59.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,9 jan 2024,00:00,9 jan 2024,23:59,60.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,10 jan 2024,00:00,10 jan 2024,23:59,55.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,11 jan 2024,00:00,11 jan 2024,23:59,24.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,12 jan 2024,00:00,12 jan 2024,23:59,55.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,15 jan 2024,00:00,15 jan 2024,23:59,52.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,16 jan 2024,00:00,16 jan 2024,23:59,55.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,17 jan 2024,00:00,17 jan 2024,23:59,55.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,18 jan 2024,00:00,18 jan 2024,23:59,54.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,19 jan 2024,00:00,19 jan 2024,23:59,56.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,20 jan 2024,00:00,20 jan 2024,23:59,57.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,22 jan 2024,00:00,22 jan 2024,23:59,55.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,23 jan 2024,00:00,23 jan 2024,23:59,55.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,24 jan 2024,00:00,24 jan 2024,23:59,55.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,25 jan 2024,00:00,25 jan 2024,23:59,53.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,26 jan 2024,00:00,26 jan 2024,23:59,51.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,27 jan 2024,00:00,27 jan 2024,23:59,55.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,28 jan 2024,00:00,28 jan 2024,23:59,57.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,29 jan 2024,00:00,29 jan 2024,23:59,55.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,30 jan 2024,00:00,30 jan 2024,23:59,56.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,31 jan 2024,00:00,31 jan 2024,23:59,58.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,1 fev 2024,00:00,1 fev 2024,23:59,53.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,2 fev 2024,00:00,2 fev 2024,23:59,56.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,3 fev 2024,00:00,3 fev 2024,23:59,54.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,4 fev 2024,00:00,4 fev 2024,23:59,59.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,5 fev 2024,00:00,5 fev 2024,23:59,56.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,6 fev 2024,00:00,6 fev 2024,23:59,57.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,7 fev 2024,00:00,7 fev 2024,23:59,57.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,8 fev 2024,00:00,8 fev 2024,23:59,32.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,9 fev 2024,00:00,9 fev 2024,23:59,34.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,14 fev 2024,00:00,14 fev 2024,23:59,24.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,15 fev 2024,00:00,15 fev 2024,23:59,33.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,17 fev 2024,00:00,17 fev 2024,23:59,28.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,20 fev 2024,00:00,20 fev 2024,23:59,25.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,21 fev 2024,00:00,21 fev 2024,23:59,25.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,22 fev 2024,00:00,22 fev 2024,23:59,27.0,C
Temperatura Máxima do Óleo Hidráulico,Temperatura,24 fev 2024,00:00,24 fev 2024,23:59,25.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,12 set 2023,00:00,12 set 2023,23:59,54.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,13 set 2023,00:00,13 set 2023,23:59,45.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,14 set 2023,00:00,14 set 2023,23:59,44.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,15 set 2023,00:00,15 set 2023,23:59,28.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,19 set 2023,00:00,19 set 2023,23:59,31.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,25 set 2023,00:00,25 set 2023,23:59,48.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,27 set 2023,00:00,27 set 2023,23:59,50.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,28 set 2023,00:00,28 set 2023,23:59,29.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,29 set 2023,00:00,29 set 2023,23:59,29.25,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,2 out 2023,00:00,2 out 2023,23:59,35.0,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,3 out 2023,00:00,3 out 2023,23:59,23.5,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,4 out 2023,00:00,4 out 2023,23:59,41.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,6 out 2023,00:00,6 out 2023,23:59,81.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,7 out 2023,00:00,7 out 2023,23:59,81.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,8 out 2023,00:00,8 out 2023,23:59,81.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,9 out 2023,00:00,9 out 2023,23:59,81.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,10 out 2023,00:00,10 out 2023,23:59,83.75,C
Temp. Máx. do Óleo da Transm.,Temperatura do Óleo da Transmissão,11 out 2023,00:00,11 out 2023,23:59,81.5,C
